PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W460-Curve_Description,W460-Fit_LogAC50,W460-Fit_HillSlope,W460-Fit_R2,W460-Fit_InfiniteActivity,W460-Fit_ZeroActivity,W460-Fit_CurveClass,W460-Excluded_Points,W460-Max_Response,W460-Activity at 0.0004339325 uM,W460-Activity at 0.00129 uM,W460-Activity at 0.00384 uM,W460-Activity at 0.00491 uM,W460-Activity at 0.012 uM,W460-Activity at 0.034 uM,W460-Activity at 0.057 uM,W460-Activity at 0.106 uM,W460-Activity at 0.314 uM,W460-Activity at 0.650 uM,W460-Activity at 0.975 uM,W460-Activity at 2.847 uM,W460-Activity at 4.858 uM,W460-Activity at 8.475 uM,W460-Activity at 24.77 uM,W460-Activity at 36.32 uM,W460-Activity at 76.79 uM,W460-Activity at 182.0 uM,W460-Activity at 407.0 uM,W460-Activity at 910.0 uM,W460-Activity at 2034.7 uM,W460-Activity at 4832.4 uM,W460-Activity at 10805.3 uM,W460-Activity at 24160.5 uM,W460-Activity at 54023.0 uM,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0004339325 uM,Ratio-Activity at 0.00129 uM,Ratio-Activity at 0.00384 uM,Ratio-Activity at 0.00491 uM,Ratio-Activity at 0.012 uM,Ratio-Activity at 0.034 uM,Ratio-Activity at 0.057 uM,Ratio-Activity at 0.106 uM,Ratio-Activity at 0.314 uM,Ratio-Activity at 0.650 uM,Ratio-Activity at 0.975 uM,Ratio-Activity at 2.847 uM,Ratio-Activity at 4.858 uM,Ratio-Activity at 8.475 uM,Ratio-Activity at 24.77 uM,Ratio-Activity at 36.32 uM,Ratio-Activity at 76.79 uM,Ratio-Activity at 182.0 uM,Ratio-Activity at 407.0 uM,Ratio-Activity at 910.0 uM,Ratio-Activity at 2034.7 uM,Ratio-Activity at 4832.4 uM,Ratio-Activity at 10805.3 uM,Ratio-Activity at 24160.5 uM,Ratio-Activity at 54023.0 uM,W530-Curve_Description,W530-Fit_LogAC50,W530-Fit_HillSlope,W530-Fit_R2,W530-Fit_InfiniteActivity,W530-Fit_ZeroActivity,W530-Fit_CurveClass,W530-Excluded_Points,W530-Max_Response,W530-Activity at 0.0004339325 uM,W530-Activity at 0.00129 uM,W530-Activity at 0.00384 uM,W530-Activity at 0.00491 uM,W530-Activity at 0.012 uM,W530-Activity at 0.034 uM,W530-Activity at 0.057 uM,W530-Activity at 0.106 uM,W530-Activity at 0.314 uM,W530-Activity at 0.650 uM,W530-Activity at 0.975 uM,W530-Activity at 2.847 uM,W530-Activity at 4.858 uM,W530-Activity at 8.475 uM,W530-Activity at 24.77 uM,W530-Activity at 36.32 uM,W530-Activity at 76.79 uM,W530-Activity at 182.0 uM,W530-Activity at 407.0 uM,W530-Activity at 910.0 uM,W530-Activity at 2034.7 uM,W530-Activity at 4832.4 uM,W530-Activity at 10805.3 uM,W530-Activity at 24160.5 uM,W530-Activity at 54023.0 uM,Compound QC
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: &apos;qHTS&apos;, &apos;qHTS Verification&apos;, &apos;Secondary Profiling&apos;"
RESULT_UNIT,,,,,,,NONE,MICROMOLAR,PERCENT,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,0.000433932,0.00129224,0.00383591,0.00490613,0.0116826,0.0344362,0.0569211,0.10605,0.313628,0.649785,0.974758,2.84688,4.85798,8.4755,24.7692,36.3199,76.7881,182.01,406.974,909.994,2034.75,4832.4,10805.3,24160.5,54023,,,,,,,,,,0.000433932,0.00129224,0.00383591,0.00490613,0.0116826,0.0344362,0.0569211,0.10605,0.313628,0.649785,0.974758,2.84688,4.85798,8.4755,24.7692,36.3199,76.7881,182.01,406.974,909.994,2034.75,4832.4,10805.3,24160.5,54023,,,,,,,,,,0.000433932,0.00129224,0.00383591,0.00490613,0.0116826,0.0344362,0.0569211,0.10605,0.313628,0.649785,0.974758,2.84688,4.85798,8.4755,24.7692,36.3199,76.7881,182.01,406.974,909.994,2034.75,4832.4,10805.3,24160.5,54023,
1,11112138,5995,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-p1/NCGC00016254-01/24055601,,Inconclusive,25.1189,40.4377,,,,,,,,4,,-3.6551,,-7.0121,-7.8099,-0.6439,0.3324,-3.1252,1.4689,4.517,-1.5136,-5.3909,1.8158,-10.243,-10.8085,,-11.2465,-2.9047,-3.6551,,,,,,,,,,,,,,,4,,-8.3096,,-4.1076,-7.9557,-2.6477,-7.5916,-3.1959,-4.7791,-2.5385,-1.4664,-4.7825,-0.3333,-5.8693,-8.027,,-10.6149,-12.6559,-8.3096,,,,,,,,,Single point of activity,-4.6,4.9549,0.6427,40.8689,0.4312,3,1 0 0 0 0 0 0 0 0 0 1 0 0 0 1,6.7296,,-13.2808,-4.7299,3.1079,13.2866,-11.3337,8.7773,9.7839,-2.9631,-3.2907,-2.1657,-18.4091,-5.1798,,2.8499,33.8248,6.7296,,,,,,,,,QC'd by Prestwick
2,17388662,26041,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB07944716-01/24051853,,Inconclusive,1.4125,34.0858,,,,,,,,4,,-6.1395,-4.684,,-2.5881,,-17.924,-10.17,-7.0842,-3.0246,-8.6002,5.4551,-11.7123,,-15.8254,-8.2832,14.1499,-20.4072,-6.1395,,,,,,,,,,,,,,,4,,-0.5668,-4.5275,,-12.8471,,-4.5807,-15.1337,-13.8354,-8.7356,-16.6672,-8.2306,-9.5134,,-2.0079,7.5947,5.9112,-16.419,-0.5668,,,,,,,,,Complete curve; partial efficacy; poor fit,-5.85,4.9549,0.7848,-26.7476,7.3383,-1.4,0 0 1 0 0 0 0 0 0 0 0 1 0 0,-15.5195,-7.5115,,10.4632,,-31.4905,7.4687,8.0468,1.0891,10.1374,20.566,-14.8747,,-33.8425,-36.199,5.246,-19.895,-15.5195,,,,,,,,,QC'd by NIEHS/NTP
3,17388663,5281576,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB07930229-01/24052325,,Inactive,,,,,,,,,,4,,-12.2116,-2.6765,,-2.932,,-3.9364,-13.1591,-5.4805,-3.0248,-9.8711,-2.8235,-4.7383,,-2.894,0.4819,-4.5155,-5.4879,-12.2116,,,,,,,,,,,,,,,4,,-3.928,-0.777,,0.7273,,-0.3318,-0.0778,0.1625,-1.1442,-1.1336,-0.3652,-0.2361,,-0.2296,-0.2088,-0.8732,0.5236,-3.928,,,,,,,,,,,,,,,4,,-20.9504,-3.9533,,-15.7319,,-7.5535,-31.7305,-14.4461,-4.5076,-24.8607,-5.8116,-12.0744,,-1.5822,0.6959,-13.2328,-14.6223,-20.9504,,,,,,,,,QC'd by NIEHS/NTP
4,17388664,5281575,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB13681038-01/24051998,,Inconclusive,0.0028,29.4083,,,,,,,,4,,-6.4375,-1.2855,,-3.7811,,-10.6859,-14.2404,-19.091,-3.6416,-13.2103,-4.4387,-7.5688,,-8.8758,-0.6693,-7.7042,-4.1537,-6.4375,,,,,,,,,,,,,,,4,,0.6575,-3.9275,,-3.7844,,-1.08,1.0086,-1.8455,7.6437,-5.9763,2.451,-5.7738,,2.9794,-5.0363,7.2079,1.1539,0.6575,,,,,,,,,Complete curve; partial efficacy; poor fit,-8.55,3.0654,0.516,-27.1245,2.2837,-1.4,0 0 0 0 1 0 0 0 0 0 1 0 0 0,-19.9028,2.3631,,-9.835,,-26.81,-38.7275,-48.9236,-34.451,-24.1742,-25.1843,-8.3962,,-31.4896,6.7302,-41.9622,-18.7537,-19.9028,,,,,,,,,QC'd by NIEHS/NTP
5,17388665,5280795,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-gr-hela-agonist-ntp-p1/AB07944741-01/24052224,,Inactive,,,,,,,,,,4,,0.3267,5.2216,,-1.3027,,5.8654,3.7169,1.7913,6.2354,4.803,-0.6593,7.3807,,-3.541,3.2738,1.7043,12.5383,0.3267,,,,,,,,,,,,,,,4,,-3.6732,-5.987,,1.63,,-1.7747,-1.3249,5.9863,0.9263,-3.4593,-2.454,-2.3478,,-2.355,3.2444,0.5186,5.9886,-3.6732,,,,,,,,,,,,,,,4,,22.9154,25.3472,,-18.1419,,13.0514,11.6324,-13.055,7.5086,17.011,3.5476,25.5212,,2.3349,-1.2647,2.854,15.3671,22.9154,,,,,,,,,QC'd by NIEHS/NTP
