PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Blue (460 nm) auto fluorescence outcome,Sample Source
RESULT_TYPE,,,,,,,STRING,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,Type of compound activity based on both the GR agonist mode screen and the auto fluorescence counter screens.,Type of compound activity in the ratio readout of the GR agonist mode screen.,The concentration of sample yielding half-maximal activation in the ratio readout of the GR agonist mode screen.,Percent activation in the ratio readout of the GR agonist mode screen.,Type of compound activity in the 530 nm readout of the GR agonist mode screen.,The concentration of sample yielding half-maximal activation in the 530 nm readout of the GR agonist mode screen.,Percent activation in the 530 nm readout of the GR agonist mode screen.,Type of compound activity in the 460 nm readout of the GR agonist mode screen.,The concentration of sample yielding half-maximal activation in the 460 nm readout of the GR agonist mode screen.,Percent activation in the 460 nm readout of the GR agonist mode screen.,Type of compound activity in the auto fluorescence counter screens.,Where sample was obtained.
RESULT_UNIT,,,,,,,NONE,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,
1,144203552,12850184,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
2,144203553,89753,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
3,144203554,9403,Inconclusive,5,,,inconclusive,inconclusive,,0,inconclusive antagonist,26.8325,-65.1827,active antagonist,7.00369,-26.9615,inactive,NCI
4,144203555,13218779,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
5,144203556,142766,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
6,144203557,16043,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
7,144203558,16043,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,23.9145,-66.5962,active antagonist,23.3627,-40.991,inactive,SigmaAldrich
8,144203559,2724411,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
9,144203560,2724372,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
10,144203561,637566,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
11,144203562,994,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
12,144203563,4766,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
13,144203564,79472,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Labotest
14,144203565,3080,Inconclusive,5,,,inconclusive,active agonist,,18.2303,inactive,,0,inconclusive antagonist,,0,inactive,NCI
15,144203566,197883,Inconclusive,5,,,inconclusive,inconclusive agonist,,13.7137,inactive,,0,inactive,,0,inactive,NCI
16,144203567,51,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
17,144203568,66064,Inconclusive,5,,,inconclusive,active agonist,26.8325,86.3904,active antagonist,27.8822,-78.7168,active antagonist,26.8325,-43.2394,inactive,NCI
18,144203569,66435,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
19,144203570,8969,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
20,144203571,10664,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
21,144203572,8739,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Chembridge
22,144203573,4904,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
23,144203574,65463,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
24,144203575,439501,Inconclusive,5,,,inconclusive,inconclusive antagonist,,-13.7823,inconclusive agonist,,0,inactive,,0,inactive,NCI
25,144203576,65708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Chemical Block
26,144203577,60196259,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
27,144203578,5338,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
28,144203579,3246155,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,20.1215,29.1717,inactive,,0,inactive,NCI
29,144203580,5920,Inconclusive,10,,,inconclusive antagonist,inconclusive antagonist,,-18.7698,inactive,,0,inconclusive antagonist,,0,inactive,NCI
30,144203581,54724367,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
31,144203582,7329,Inconclusive,5,,,inconclusive,active agonist,21.6366,31.7188,active antagonist,24.2767,-41.4431,inactive,,0,inactive,NIEHS
32,144203583,667466,Inactive,0,,,inactive,inactive,,0,active antagonist,27.8822,-60.6961,active antagonist,28.973,-42.7381,inactive,NCI
33,144203584,24403,Inconclusive,5,,,inconclusive,inconclusive antagonist,,0,inconclusive agonist,,0,inactive,,0,inactive,NCI
34,144203585,6419941,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
35,144203586,6603108,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
36,144203587,6419978,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
37,144203588,5459110,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
38,144203589,656597,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
39,144203590,3000668,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
40,144203591,22576,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,2.68325,47.3536,inactive,,0,inactive,NCI
41,144203592,2333,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,17.9333,-52.3464,active antagonist,6.00704,-31.0891,inactive,NCI
42,144203593,614,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
43,144203594,94280,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,26.8325,33.343,inactive,,0,inactive,NCI
44,144203595,23664709,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
45,144203596,546,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
46,144203597,16678045,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
47,144203598,14676,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,6.74001,27.1531,inconclusive agonist,15.089,22.1294,inactive,NCI
48,144203599,441358,Inconclusive,5,,,inconclusive,inconclusive antagonist,,-16.2675,inactive,,0,inactive,,0,inactive,NCI
49,144203600,71822,Inactive,0,,,inactive,inactive,,0,inconclusive,,0,active antagonist,28.973,-45.0819,inactive,NCI
50,144203601,443939,Inconclusive,5,,,inconclusive,inconclusive antagonist,,0,inconclusive agonist,,0,inactive,,0,inactive,NCI
51,144203602,298391,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
52,144203603,4078,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
53,144203604,2348,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,NCI
54,144203605,23667629,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
55,144203606,122820,Inconclusive,5,,,inconclusive,active agonist,26.8325,109.275,inconclusive antagonist,23.9145,-88.3306,inconclusive antagonist,23.9145,-65.0639,inactive,NCI
56,144203607,3151,Inactive,0,,,inactive,inactive,,0,active agonist,2.13138,36.849,inactive,,0,inactive,NCI
57,144203608,65758,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Bionet
58,144203609,5694,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
59,144203610,4614,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
60,144203611,71203,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,"Prestwick Chemical, Inc."
61,144203612,3061720,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,NCI
62,144203613,35370,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
63,144203614,2266,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
64,144203615,2170,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,BIOMOL
65,144203616,1727,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
66,144203617,2081,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Microsource
67,144203618,1989,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
68,144203619,2130,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
69,144203620,169371,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,fluorescent,Microsource
70,144203621,5283389,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
71,144203622,119,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,BIOMOL
72,144203623,1967,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
