PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
RESULT_TYPE,,,,,,,STRING,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,Type of compound activity based on both the GR antagonist mode screen and the cell viability counter screens.,Type of compound activity in the ratio readout of the GR antagonist mode screen.,The concentration of sample yielding half-maximal inhibition in the ratio readout of the GR antagonist mode screen.,Percent inhibition in the ratio readout of the GR antagonist mode screen.,Type of compound activity in the 530 nm readout of the GR antagonist mode screen.,The concentration of sample yielding half-maximal inhibition in the 530 nm readout of the GR antagonist mode screen.,Percent inhibition in the 530 nm readout of the GR antagonist mode screen.,Type of compound activity in the 460 nm readout of the GR antagonist mode screen.,The concentration of sample yielding half-maximal inhibition in the 460 nm readout of the GR antagonist mode screen.,Percent inhibition in the 460 nm readout of the GR antagonist mode screen.,Type of compound activity in the cell viability counter screens.,The concentration of sample yielding half-maximal inhibition in the cell viability counter screen.,Percent inhibition in the cell viability counter screen.,Where sample was obtained.
RESULT_UNIT,,,,,,,NONE,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE
1,144203552,12850184,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2,144203553,89753,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
3,144203554,9403,Active,57,,,active antagonist,active antagonist,7.56242,-104.384,inactive,,0,active antagonist,7.56242,-95.0751,inconclusive antagonist,,0,NCI
4,144203555,13218779,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
5,144203556,142766,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
6,144203557,16043,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,0,NCI
7,144203558,16043,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,11.9856,-67.8418,inconclusive antagonist,23.9145,-61.7417,active antagonist,17.5925,-145.137,active antagonist,23.9145,-99.9932,SigmaAldrich
8,144203559,2724411,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,16.9301,-106.359,inactive,,0,inconclusive antagonist,16.9301,-132.937,inconclusive antagonist,12.6958,-45.2176,NCI
9,144203560,2724372,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
10,144203561,637566,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,0.0848517,36.2494,inactive,,0,NCI
11,144203562,994,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
12,144203563,4766,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,0,inactive,,0,NCI
13,144203564,79472,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Labotest
14,144203565,3080,Active,49,,,active antagonist,active antagonist,20.5113,-69.4724,inconclusive antagonist,23.9145,-42.2313,inconclusive antagonist,23.9145,-157.924,inconclusive agonist,21.3138,54.1919,NCI
15,144203566,197883,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,16.9301,39.6667,inactive,,0,NCI
16,144203567,51,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,1.42449,37.0756,NCI
17,144203568,66064,Inconclusive,5,,,inconclusive,inconclusive,,0,active antagonist,26.8325,-72.8385,active antagonist,26.8325,-141.591,inconclusive antagonist,23.9145,-107.575,NCI
18,144203569,66435,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
19,144203570,8969,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
20,144203571,10664,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
21,144203572,8739,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Chembridge
22,144203573,4904,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
23,144203574,65463,Inconclusive,5,,,inconclusive,inconclusive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
24,144203575,439501,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,0.268325,-89.5254,inactive,,0,active antagonist,0.379019,-92.7034,active antagonist,0.221476,-76.1853,NCI
25,144203576,65708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Chemical Block
26,144203577,60196259,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,0,inactive,,0,NCI
27,144203578,5338,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
28,144203579,3246155,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
29,144203580,5920,Active,56,,,active antagonist,active antagonist,15.6793,-132.292,inconclusive agonist,,0,active antagonist,22.1476,-139.677,inactive,,0,NCI
30,144203581,54724367,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
31,144203582,7329,Inconclusive,5,,,inconclusive,inconclusive agonist,3.37801,91.5,inconclusive antagonist,23.9145,-56.4187,inconclusive antagonist,21.3138,-110.651,active antagonist,18.2807,-88.1977,NIEHS
32,144203583,667466,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
33,144203584,24403,Inconclusive,5,,,inconclusive,inconclusive agonist,,0,inconclusive agonist,,0,inconclusive antagonist,,0,inactive,,0,NCI
34,144203585,6419941,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
35,144203586,6603108,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,0,inactive,,0,NCI
36,144203587,6419978,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
37,144203588,5459110,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
38,144203589,656597,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
39,144203590,3000668,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
40,144203591,22576,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,4.01477,38.6427,inactive,,0,NCI
41,144203592,2333,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,13.4481,-82.3967,inactive,,0,active antagonist,14.5209,-106.431,active antagonist,11.5344,-65.2109,NCI
42,144203593,614,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
43,144203594,94280,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
44,144203595,23664709,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
45,144203596,546,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
46,144203597,16678045,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,0,inactive,,0,NCI
47,144203598,14676,Inconclusive,5,,,inconclusive,inconclusive,,0,inactive,,0,inconclusive agonist,23.9145,94.3472,inactive,,0,NCI
48,144203599,441358,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
49,144203600,71822,Inconclusive,5,,,inconclusive,inconclusive,,0,inactive,,0,inconclusive antagonist,26.8325,-99.5511,inconclusive antagonist,26.8325,-67.2351,NCI
50,144203601,443939,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
51,144203602,298391,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
52,144203603,4078,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
53,144203604,2348,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
54,144203605,23667629,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
