CID	Activity	MolecularWeight	HeavyAtomCount	RotatableBondCount	Complexity	XLogP	TPSA	HBondDonorCount	HBondAcceptorCount
4	Inactive	75.110000	5	1	22.9	-1.000	46.2	2	2
11	Inactive	98.960000	4	1	6.0	1.500	0.0	0	0
13	Inactive	181.400000	9	0	94.3	4.000	0.0	0	0
33	Inactive	78.500000	4	1	20.0	0.3	17.1	0	1
34	Inactive	80.510000	4	1	10.0	-0.100	20.2	1	1
51	Inactive	146.100000	10	4	171.0	-0.9	91.7	2	5
72	Inactive	154.120000	11	1	157.0	1.100	77.8	3	4
79	Inactive	104.110000	8	0	111.0	0.200	36.7	0	2
85	Inactive	162.210000	11	4	139.0	-0.8	57.5	2	3
107	Inactive	150.170000	11	3	126.0	1.800	37.3	1	2
119	Inactive	103.120000	7	3	62.7	-3.200	63.3	2	3
135	Inactive	138.120000	10	1	125.0	1.600	57.5	2	3
137	Inactive	131.130000	9	4	121.0	-3.8	80.4	2	4
174	Inactive	62.070000	4	1	6.0	-1.400	40.5	2	2
178	Inactive	59.070000	4	0	33.0	-0.9	43.1	1	1
179	Inactive	88.110000	6	1	58.6	-0.300	37.3	1	2
180	Inactive	58.080000	4	0	26.3	-0.1	17.1	0	1
187	Inactive	146.210000	10	4	115.0	0.2	26.3	0	2
190	Inactive	135.130000	10	0	127.0	-0.100	80.5	2	4
196	Inactive	146.140000	10	5	114.0	0.100	74.6	2	4
204	Inactive	158.120000	11	1	225.0	-2.2	113.0	4	3
227	Inactive	137.140000	10	1	136.0	1.200	63.3	2	3
240	Inactive	106.120000	8	1	72.5	1.500	17.1	0	1
241	Inactive	78.110000	6	0	15.5	2.100	0.0	0	0
243	Inactive	122.120000	9	1	104.0	1.900	37.3	1	2
244	Inactive	108.140000	8	1	55.4	1.100	20.2	1	1
247	Inactive	117.150000	8	1	87.6	0.5	40.1	0	2
248	Inactive	118.150000	8	2	93.1	-0.1	37.3	1	2
261	Inactive	72.110000	5	2	24.8	0.900	17.1	0	1
262	Inactive	90.120000	6	1	30.5	-0.900	40.5	2	2
263	Inactive	74.123000	5	2	13.1	0.900	20.2	1	1
264	Inactive	88.106000	6	2	49.5	0.800	37.3	1	2
277	Inactive	61.040000	4	0	33.0	-0.8	63.3	2	2
284	Inactive	46.025000	3	0	10.3	-0.2	37.3	1	2
300	Inactive	94.500000	5	1	42.9	0.200	37.3	1	2
305	Inactive	104.170000	7	2	46.5	-0.4	20.2	1	1
307	Inactive	132.160000	10	2	121.0	1.900	17.1	0	1
308	Inactive	134.170000	10	2	101.0	1.900	20.2	1	1
311	Inactive	192.120000	13	5	227.0	-1.700	132.0	4	7
323	Inactive	146.140000	11	0	196.0	1.400	26.3	0	2
325	Inactive	150.220000	11	2	101.0	2.300	20.2	1	1
326	Inactive	148.200000	11	2	121.0	2.700	17.1	0	1
335	Inactive	108.140000	8	0	70.8	2.000	20.2	1	1
342	Inactive	108.140000	8	0	70.8	2.000	20.2	1	1
356	Inactive	114.230000	8	5	25.0	3.900	0.0	0	0
359	Inactive	126.110000	9	0	63.3	0.200	60.7	3	3
370	Inactive	170.120000	12	1	169.0	0.700	98.0	4	5
379	Inactive	144.210000	10	6	89.3	3.000	37.3	1	2
385	Inactive	160.170000	11	6	125.0	0.500	74.6	2	4
398	Inactive	89.090000	6	0	54.3	0.800	45.8	0	2
444	Inactive	239.740000	16	4	247.0	3.2	29.1	1	2
447	Inactive	156.560000	10	1	136.0	2.700	37.3	1	2
458	Inactive	164.250000	10	4	116.0	-3.000	64.3	2	3
460	Inactive	124.140000	9	1	83.0	1.300	29.5	1	2
464	Inactive	179.170000	13	3	197.0	0.300	66.4	2	3
525	Inactive	134.090000	9	3	129.0	-1.300	94.8	3	5
527	Inactive	58.080000	4	1	17.2	0.600	17.1	0	1
541	Inactive	151.120000	11	1	156.0	1.600	62.9	0	3
546	Inactive	140.030000	8	2	133.0	-2.0	94.8	3	5
564	Inactive	131.170000	9	5	83.1	-3.000	63.3	2	3
568	Inactive	168.190000	13	0	170.0	4.100	13.1	0	1
588	Inactive	113.120000	8	0	151.0	-1.800	58.7	1	1
594	Inactive	121.160000	7	2	75.3	-2.500	64.3	3	4
597	Inactive	111.100000	8	0	170.0	-1.700	67.5	2	2
598	Inactive	142.200000	7	2	118.0	-0.6	63.8	2	4
611	Inactive	147.130000	10	4	145.0	-3.700	101.0	3	5
612	Inactive	90.080000	6	1	59.1	-0.700	57.5	2	3
614	Inactive	115.130000	8	1	103.0	-2.500	49.3	2	3
650	Inactive	86.090000	6	1	71.5	-1.300	34.1	0	2
660	Inactive	148.160000	11	0	165.0	1.6	26.3	0	2
674	Inactive	45.080000	3	0	2.8	-0.200	12.0	1	1
679	Inactive	78.140000	4	0	29.0	-0.6	36.3	0	2
681	Inactive	153.180000	11	2	119.0	-1.000	66.5	3	3
700	Inactive	61.080000	4	1	10.0	-1.300	46.2	2	2
701	Inactive	144.170000	10	4	140.0	0.900	43.4	0	3
702	Inactive	46.070000	3	0	2.8	-0.100	20.2	1	1
712	Inactive	30.026000	2	0	2.0	1.2	17.1	0	1
713	Inactive	45.041000	3	0	12.3	-0.8	43.1	1	1
743	Inactive	132.110000	9	4	104.0	-0.300	74.6	2	4
750	Inactive	75.067000	5	1	42.9	-3.200	63.3	2	3
753	Inactive	92.090000	6	2	25.2	-1.800	60.7	3	3
754	Inactive	172.070000	10	4	129.0	-2.9	107.0	4	6
757	Inactive	76.051000	5	1	40.2	-1.100	57.5	2	3
767	Inactive	62.025000	4	0	26.3	-0.1	57.5	2	3
781	Inactive	59.090000	3	0	31.3	0.6	24.8	1	2
791	Inactive	131.170000	9	3	103.0	-1.700	63.3	2	3
795	Inactive	68.080000	5	0	28.1	-0.100	28.7	1	1
802	Inactive	175.180000	13	2	205.0	1.400	53.1	2	2
807	Inactive	253.808900	2	0	0.0	1.7	0.0	0	0
811	Inactive	130.100000	9	3	158.0	-0.1	74.6	2	4
864	Inactive	206.300000	12	5	150.0	1.7	87.9	1	4
867	Inactive	104.060000	7	2	83.1	-0.800	74.6	2	4
876	Inactive	149.210000	9	4	97.0	-1.900	88.6	2	4
892	Inactive	180.160000	12	0	104.0	-3.7	121.0	6	6
896	Inactive	232.280000	17	4	270.0	0.800	54.1	2	2
931	Inactive	128.170000	10	0	80.6	3.300	0.0	0	0
949	Inactive	121.180000	9	1	72.6	2.300	3.2	0	1
957	Inactive	130.231000	9	6	43.8	3.000	20.2	1	1
967	Inactive	156.100000	11	1	268.0	-1.400	95.5	3	4
970	Inactive	132.070000	9	3	158.0	-0.6	91.7	2	5
978	Inactive	137.140000	10	1	128.0	0.800	63.3	2	3
991	Inactive	291.260000	18	6	304.0	3.800	106.0	0	6
994	Inactive	165.190000	12	3	153.0	-1.500	63.3	2	3
995	Inactive	178.230000	14	0	174.0	4.500	0.0	0	0
996	Inactive	94.110000	7	0	46.1	1.500	20.2	1	1
998	Inactive	120.150000	9	2	82.6	1.800	17.1	0	1
999	Inactive	136.150000	10	2	114.0	1.400	37.3	1	2
1004	Inactive	97.995000	5	0	49.8	-2.1	77.8	3	4
1017	Inactive	166.130000	12	2	177.0	0.700	74.6	2	4
1018	Inactive	123.110000	9	1	114.0	0.800	50.2	1	3
1030	Inactive	76.090000	5	1	20.9	-0.900	40.5	2	2
1031	Inactive	60.096000	4	1	7.2	0.300	20.2	1	1
1046	Inactive	123.110000	9	1	115.0	-0.600	68.9	1	3
1049	Inactive	79.100000	6	0	30.9	0.700	12.9	0	1
1050	Inactive	167.160000	12	2	162.0	0.000	70.4	2	4
1051	Inactive	247.140000	16	4	292.0	-1.1	117.0	3	7
1052	Inactive	168.190000	12	2	143.0	-1.000	79.4	3	4
1053	Inactive	248.170000	16	4	271.0	-4.400	126.0	4	7
1060	Inactive	88.060000	6	1	84.0	-0.3	54.4	1	3
1066	Inactive	167.120000	12	2	204.0	0.2	87.5	2	5
1080	Inactive	179.200000	11	5	161.0	-3.100	126.0	3	6
1118	Inactive	98.080000	5	0	81.3	-1.4	83.0	2	4
1123	Inactive	125.150000	7	2	120.0	-4.1	88.8	2	4
1130	Inactive	265.360000	18	4	269.0	1.0	104.0	2	5
1131	Inactive	345.340000	22	6	413.0	-0.1	151.0	3	8
1132	Inactive	425.320000	26	8	568.0	-1.2	197.0	4	11
1136	Inactive	143.210000	9	2	89.1	0.800	61.4	1	3
1140	Inactive	92.140000	7	0	42.0	2.700	0.0	0	0
1146	Inactive	59.110000	4	0	8.0	0.3	3.2	0	1
1148	Inactive	204.220000	15	3	245.0	-1.100	79.1	3	3
1174	Inactive	112.090000	8	0	161.0	-1.100	58.2	2	2
1175	Inactive	168.110000	12	0	332.0	-1.9	99.3	4	3
1176	Inactive	60.056000	4	0	29.0	-1.4	69.1	2	1
1183	Inactive	152.150000	11	2	135.0	1.200	46.5	1	3
1234	Inactive	484.600000	35	14	639.0	3.800	73.2	0	7
1254	Inactive	156.260000	11	1	120.0	3.0	20.2	1	1
1322	Inactive	60.100000	4	1	6.0	-0.4	24.1	2	2
1346	Inactive	192.260000	14	2	169.0	1.4	24.5	1	3
1355	Inactive	196.670000	13	1	157.0	1.700	15.3	1	2
1359	Inactive	212.170000	15	1	217.0	2.6	17.8	0	4
1474	Inactive	156.180000	12	1	120.0	1.700	25.8	0	2
1488	Inactive	235.060000	14	4	199.0	3.100	35.5	0	3
1489	Inactive	249.090000	15	5	211.0	3.500	46.5	1	3
1533	Inactive	108.140000	8	0	72.9	0.600	38.9	1	2
1614	Inactive	179.220000	13	2	174.0	1.600	44.5	1	3
1615	Inactive	193.240000	14	3	186.0	2.200	30.5	1	3
1672	Inactive	89.140000	6	3	23.5	-0.5	35.2	1	2
1674	Inactive	268.400000	21	0	399.0	6.400	0.0	0	0
1676	Inactive	194.190000	14	2	268.0	0.300	78.1	2	3
1727	Inactive	94.110000	7	0	48.0	0.300	38.9	1	2
1752	Inactive	220.350000	16	8	148.0	5.900	20.2	1	1
1775	Inactive	252.270000	19	2	350.0	2.500	58.2	2	2
1807	Active antagonist	212.000000	10	0	139.0	0.300	64.3	0	4
1892	Inactive	224.220000	16	2	322.0	-1.200	78.7	1	4
1923	Active agonist	145.160000	11	0	138.0	2.000	33.1	1	2
1967	Inactive	326.400000	24	6	692.0	3.9	54.4	1	3
1978	Inactive	336.400000	24	10	401.0	1.700	87.7	3	5
1979	Inactive	169.220000	12	2	185.0	0.700	29.5	0	3
1982	Inactive	183.170000	10	3	172.0	-0.800	80.7	1	4
1983	Inactive	151.160000	11	1	139.0	0.500	49.3	2	2
1984	Inactive	271.270000	20	4	350.0	2.600	75.6	2	4
1986	Inactive	222.300000	13	2	297.0	-0.300	152.0	2	7
1990	Inactive	75.070000	5	0	42.9	-1.600	49.3	2	2
1993	Inactive	160.230000	11	4	138.0	0.6	26.3	0	2
1999	Inactive	248.280000	18	3	322.0	2.600	75.3	2	3
2000	Inactive	207.230000	15	4	234.0	0.600	66.4	2	3
2005	Inactive	173.210000	12	6	156.0	0.1	66.4	2	3
2006	Inactive	233.180000	17	3	311.0	0.3	121.0	3	6
2018	Inactive	193.200000	14	3	219.0	0.800	66.4	2	3
2031	Inactive	311.400000	23	9	311.0	4.2	29.5	0	3
2040	Inactive	283.300000	21	2	439.0	2.200	58.7	1	4
2052	Inactive	186.170000	14	1	313.0	1.300	88.0	2	4
2075	Inactive	200.580000	13	1	228.0	1.400	88.9	1	3
2081	Inactive	255.740000	17	5	260.0	2.8	52.3	1	3
2086	Inactive	190.270000	12	4	180.0	1.100	76.0	1	4
2088	Inactive	249.100000	14	5	257.0	-6.5	161.0	6	8
2092	Inactive	389.400000	28	8	511.0	1.7	112.0	2	8
2118	Active antagonist	308.800000	22	1	434.0	2.100	43.1	0	3
2119	Inactive	249.350000	18	8	231.0	3.100	41.5	2	3
2122	Inactive	383.900000	22	5	614.0	0.800	160.0	3	8
2123	Inactive	210.280000	15	3	148.0	2.700	48.4	0	6
2130	Inactive	151.250000	11	0	144.0	2.400	26.0	1	1
2131	Inactive	537.600000	36	14	614.0	5.1	58.2	2	2
2136	Inactive	255.270000	19	4	336.0	2.6	80.4	2	4
2140	Inactive	613.910000	20	3	391.0	1.8	95.5	3	4
2141	Inactive	214.230000	12	7	152.0	-4.5	121.0	4	6
2145	Inactive	232.280000	17	2	321.0	1.200	72.2	2	3
2146	Inactive	74.090000	5	0	41.6	-1.5	90.4	3	2
2148	Inactive	194.190000	14	3	222.0	-0.900	92.4	3	4
2149	Inactive	119.120000	8	3	83.4	-4.1	83.6	3	4
2151	Inactive	203.240000	15	1	305.0	0.100	49.6	1	3
2153	Inactive	180.160000	13	0	267.0	0.000	69.3	1	3
