PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_SCORE, ,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%)
144212021,4,0,inactive,inactive,,0
144209664,11,0,inactive,inactive,,0
144210880,13,0,inactive,inactive,,0
144211469,33,0,inactive,inactive,,0
144210363,34,0,inactive,inactive,,0
144208116,51,0,inactive,inactive,,0
144209087,66,0,inactive,inactive,,0
144207365,72,0,inactive,inactive,,0
144210672,79,0,inactive,inactive,,0
144212646,107,0,inactive,inactive,,0
144203622,119,0,inactive,inactive,,0
144213618,135,0,inactive,inactive,,0
144210954,174,0,inactive,inactive,,0
144211770,176,0,inactive,inactive,,0
144211093,178,0,inactive,inactive,,0
144212835,179,0,inactive,inactive,,0
144209678,180,0,inactive,inactive,,0
144212425,190,0,inactive,inactive,,0
144210662,196,0,inactive,inactive,,0
144213229,204,0,inactive,inactive,,0
144207901,227,0,inactive,inactive,,0
144207832,240,0,inactive,inactive,,0
144209685,241,0,inactive,inactive,,0
144210500,243,0,inactive,inactive,,0
144210364,244,0,inactive,inactive,,0
144211476,247,0,inactive,inactive,,0
144209689,261,0,inactive,inactive,,0
144211106,262,0,inactive,inactive,,0
144207939,263,0,inactive,inactive,,0
144210484,264,0,inactive,inactive,,0
144208312,300,0,inactive,inactive,,0
144207470,307,0,inactive,inactive,,0
144211164,308,0,inactive,inactive,,0
144210444,311,0,inactive,inactive,,0
144210377,323,0,inactive,inactive,,0
144213114,325,0,inactive,inactive,,0
144211029,326,0,inactive,inactive,,0
144210341,335,0,inactive,inactive,,0
144213426,338,0,inactive,inactive,,0
144212962,342,0,inactive,inactive,,0
144209650,356,0,inactive,inactive,,0
144209713,370,0,inactive,inactive,,0
144210663,379,0,inactive,inactive,,0
144208369,385,0,inactive,inactive,,0
144207563,398,0,inactive,inactive,,0
144207523,447,0,inactive,inactive,,0
144210655,454,0,inactive,inactive,,0
144213965,460,0,inactive,inactive,,0
144205263,464,0,inactive,inactive,,0
144210690,525,0,inactive,inactive,,0
144208269,527,0,inactive,inactive,,0
144210128,541,0,inactive,inactive,,0
144203596,546,0,inactive,inactive,,0
144203632,564,0,inactive,inactive,,0
144210372,568,0,inactive,inactive,,0
144205069,588,0,inactive,inactive,,0
144205319,594,0,inactive,inactive,,0
144212456,597,0,inactive,inactive,,0
144213921,612,0,inactive,inactive,,0
144203593,614,0,inactive,inactive,,0
144208416,650,0,inactive,inactive,,0
144213062,660,0,inactive,inactive,,0
144212756,674,0,inactive,inactive,,0
144211274,679,0,inactive,inactive,,0
144203718,681,0,inactive,inactive,,0
144213981,700,0,inactive,inactive,,0
144208336,701,0,inactive,inactive,,0
144209708,702,0,inactive,inactive,,0
144212755,712,0,inactive,inactive,,0
144213141,713,0,inactive,inactive,,0
144213242,727,0,inactive,inactive,,0
144213188,743,0,inactive,inactive,,0
144207124,750,0,inactive,inactive,,0
144210464,753,0,inactive,inactive,,0
144211615,757,0,inactive,inactive,,0
144206318,791,0,inactive,inactive,,0
144213662,795,0,inactive,inactive,,0
144208875,798,0,inactive,inactive,,0
144213048,802,0,inactive,inactive,,0
144211611,807,0,inactive,inactive,,0
144213388,811,0,inactive,inactive,,0
144213409,864,0,inactive,inactive,,0
144207732,867,0,inactive,inactive,,0
144212369,875,0,inactive,inactive,,0
144205216,876,0,inactive,inactive,,0
144209721,887,0,inactive,inactive,,0
144212352,892,0,inactive,inactive,,0
144213243,896,0,inactive,inactive,,0
144204664,904,0,inactive,inactive,,0
144210328,931,0,inactive,inactive,,0
144213093,936,0,inactive,inactive,,0
144213221,938,0,inactive,inactive,,0
144210356,949,0,inactive,inactive,,0
144210416,957,0,inactive,inactive,,0
144208302,967,0,inactive,inactive,,0
144208413,970,0,inactive,inactive,,0
144209320,971,0,inactive,inactive,,0
144210407,978,0,inactive,inactive,,0
144210437,980,0,inactive,inactive,,0
144205658,985,0,inactive,inactive,,0
144210980,991,0,inactive,inactive,,0
144203562,994,0,inactive,inactive,,0
144210890,995,0,inactive,inactive,,0
144210362,996,0,inactive,inactive,,0
144211679,997,0,inactive,inactive,,0
144208780,998,0,inactive,inactive,,0
144207731,999,0,inactive,inactive,,0
144209483,1004,0,inactive,inactive,,0
144208113,1017,0,inactive,inactive,,0
144210151,1018,0,inactive,inactive,,0
144211758,1030,0,inactive,inactive,,0
144212757,1031,0,inactive,inactive,,0
144213088,1046,0,inactive,inactive,,0
144208158,1049,0,inactive,inactive,,0
144205114,1050,0,inactive,inactive,,0
144206246,1053,0,inactive,inactive,,0
144210683,1054,0,inactive,inactive,,0
144204694,1057,20,active agonist,active agonist,25.8222,45.6877
144213601,1060,0,inactive,inactive,,0
144212368,1066,0,inactive,inactive,,0
144205211,1080,0,inactive,inactive,,0
144207605,1091,0,inactive,inactive,,0
144209116,1110,0,inactive,inactive,,0
144207681,1118,0,inactive,inactive,,0
144209718,1123,0,inactive,inactive,,0
144213623,1133,0,inactive,inactive,,0
144212504,1136,0,inactive,inactive,,0
144208422,1140,0,inactive,inactive,,0
144212672,1146,0,inactive,inactive,,0
144209991,1148,0,inactive,inactive,,0
144208221,1174,0,inactive,inactive,,0
144207112,1175,0,inactive,inactive,,0
144210355,1176,0,inactive,inactive,,0
144210670,1183,0,inactive,inactive,,0
144213774,1254,0,inactive,inactive,,0
144213428,1318,57,active antagonist,active antagonist,13.8006,-127.832
144203661,1355,0,inactive,inactive,,0
144203840,1359,0,inactive,inactive,,0
144211747,1474,0,inactive,inactive,,0
144213199,1480,0,inactive,inactive,,0
144213289,1483,0,inactive,inactive,,0
144211207,1486,0,inactive,inactive,,0
144211739,1488,0,inactive,inactive,,0
144214041,1489,0,inactive,inactive,,0
144210350,1493,20,active agonist,active agonist,36.7195,97.8003
144211914,1533,0,inactive,inactive,,0
144213308,1639,0,inactive,inactive,,0
144213382,1672,0,inactive,inactive,,0
144209790,1674,0,inactive,inactive,,0
144203783,1676,0,inactive,inactive,,0
144213324,1678,0,inactive,inactive,,0
144207991,1727,0,inactive,inactive,,0
144208491,1732,0,inactive,inactive,,0
144208439,1752,0,inactive,inactive,,0
144210601,1775,0,inactive,inactive,,0
144211905,1807,47,active antagonist,active antagonist,54.941,-116.298
144203998,1892,0,inactive,inactive,,0
144206634,1923,0,inactive,inactive,,0
144212594,1935,0,inactive,inactive,,0
144203623,1967,0,inactive,inactive,,0
144204472,1979,0,inactive,inactive,,0
144211191,1982,0,inactive,inactive,,0
144210420,1983,0,inactive,inactive,,0
144204910,1984,0,inactive,inactive,,0
144204889,1985,0,inactive,inactive,,0
144213090,1986,0,inactive,inactive,,0
144209220,1989,0,inactive,inactive,,0
144204853,1990,0,inactive,inactive,,0
144206817,1999,0,inactive,inactive,,0
144204526,2000,0,inactive,inactive,,0
144204930,2005,0,inactive,inactive,,0
144206724,2006,0,inactive,inactive,,0
144211514,2018,0,inactive,inactive,,0
144206000,2040,0,inactive,inactive,,0
144203838,2052,0,inactive,inactive,,0
144211459,2075,0,inactive,inactive,,0
144211030,2078,47,active antagonist,active antagonist,24.5412,-38.9314
144203617,2081,0,inactive,inactive,,0
144212617,2082,20,active agonist,active agonist,3.21043,111.137
144207998,2083,0,inactive,inactive,,0
144211163,2086,0,inactive,inactive,,0
144205245,2118,53,active antagonist,active antagonist,7.2777,-68.4727
144203635,2119,0,inactive,inactive,,0
144204900,2122,0,inactive,inactive,,0
144209982,2123,0,inactive,inactive,,0
144203619,2130,0,inactive,inactive,,0
144212246,2140,0,inactive,inactive,,0
144203628,2141,0,inactive,inactive,,0
144213805,2145,0,inactive,inactive,,0
144203896,2148,0,inactive,inactive,,0
144204928,2149,0,inactive,inactive,,0
144206903,2151,0,inactive,inactive,,0
144210348,2153,0,inactive,inactive,,0
144204644,2155,0,inactive,inactive,,0
144206943,2159,0,inactive,inactive,,0
144206029,2161,0,inactive,inactive,,0
144206419,2164,0,inactive,inactive,,0
144205780,2176,20,active agonist,active agonist,8.01052,62.0075
144205791,2187,0,inactive,inactive,,0
144206028,2194,49,active antagonist,active antagonist,15.089,-57.9415
144203637,2196,0,inactive,inactive,,0
144204923,2197,0,inactive,inactive,,0
144210140,2201,0,inactive,inactive,,0
144210610,2202,0,inactive,inactive,,0
144213343,2206,0,inactive,inactive,,0
144206554,2225,51,active antagonist,active antagonist,18.2807,-87.065
144203630,2230,0,inactive,inactive,,0
144210466,2244,0,inactive,inactive,,0
144212743,2249,0,inactive,inactive,,0
144211338,2256,0,inactive,inactive,,0
144204457,2264,0,inactive,inactive,,0
144213985,2265,20,active agonist,active agonist,18.8178,67.9207
144213328,2266,0,inactive,inactive,,0
144209163,2268,20,active agonist,active agonist,25.0092,74.5051
144208656,2272,0,inactive,inactive,,0
144206352,2273,0,inactive,inactive,,0
144203641,2284,0,inactive,inactive,,0
144205358,2292,0,inactive,inactive,,0
144205203,2294,0,inactive,inactive,,0
144203903,2310,0,inactive,inactive,,0
144203916,2315,0,inactive,inactive,,0
144209468,2319,0,inactive,inactive,,0
144204148,2320,0,inactive,inactive,,0
144211059,2328,0,inactive,inactive,,0
144207819,2331,0,inactive,inactive,,0
144207908,2336,20,active agonist,active agonist,3.53409,130.656
144211466,2337,0,inactive,inactive,,0
144203938,2343,0,inactive,inactive,,0
144213729,2345,0,inactive,inactive,,0
144208389,2346,0,inactive,inactive,,0
144214018,2347,0,inactive,inactive,,0
144203604,2348,0,inactive,inactive,,0
144203640,2351,0,inactive,inactive,,0
