PUBCHEM_CID,Activity Score,Ratio Potency (uM),Ratio Efficacy (%)
4,inactive,,0
11,inactive,,0
13,inactive,,0
33,inactive,,0
34,inactive,,0
51,inactive,,0
66,inactive,,0
72,inactive,,0
79,inactive,,0
107,inactive,,0
119,inactive,,0
135,inactive,,0
174,inactive,,0
176,inactive,,0
178,inactive,,0
179,inactive,,0
180,inactive,,0
190,inactive,,0
196,inactive,,0
204,inactive,,0
227,inactive,,0
240,inactive,,0
241,inactive,,0
243,inactive,,0
244,inactive,,0
247,inactive,,0
261,inactive,,0
262,inactive,,0
263,inactive,,0
264,inactive,,0
289,inactive,,0
300,inactive,,0
307,inactive,,0
308,inactive,,0
311,inactive,,0
323,inactive,,0
325,inactive,,0
326,inactive,,0
335,inactive,,0
338,inactive,,0
342,inactive,,0
356,inactive,,0
370,inactive,,0
379,inactive,,0
385,inactive,,0
398,inactive,,0
447,inactive,,0
454,inactive,,0
460,inactive,,0
464,inactive,,0
525,inactive,,0
527,inactive,,0
541,inactive,,0
546,inactive,,0
564,inactive,,0
568,inactive,,0
588,inactive,,0
594,inactive,,0
597,inactive,,0
612,inactive,,0
614,inactive,,0
650,inactive,,0
660,inactive,,0
671,active antagonist,,-16.0874
674,inactive,,0
679,inactive,,0
681,inactive,,0
700,inactive,,0
701,inactive,,0
702,inactive,,0
712,inactive,,0
713,inactive,,0
727,inactive,,0
743,inactive,,0
750,inactive,,0
753,inactive,,0
757,inactive,,0
785,inactive,,0
791,inactive,,0
795,inactive,,0
798,inactive,,0
802,inactive,,0
803,inactive,,0
807,inactive,,0
811,inactive,,0
863,inactive,,0
864,inactive,,0
867,inactive,,0
875,inactive,,0
876,inactive,,0
887,inactive,,0
892,inactive,,0
896,inactive,,0
904,inactive,,0
931,inactive,,0
936,inactive,,0
938,inactive,,0
949,inactive,,0
957,inactive,,0
967,inactive,,0
970,inactive,,0
971,inactive,,0
978,inactive,,0
980,inactive,,0
985,inactive,,0
991,inactive,,0
992,inactive,,0
994,inactive,,0
995,inactive,,0
996,inactive,,0
997,inactive,,0
998,inactive,,0
999,inactive,,0
1004,inactive,,0
1017,inactive,,0
1018,inactive,,0
1030,inactive,,0
1031,inactive,,0
1046,inactive,,0
1049,inactive,,0
1050,inactive,,0
1053,inactive,,0
1054,inactive,,0
1057,active agonist,25.8222,45.6877
1060,inactive,,0
1066,inactive,,0
1080,inactive,,0
1091,inactive,,0
1110,inactive,,0
1118,inactive,,0
1123,inactive,,0
1133,inactive,,0
1136,inactive,,0
1140,inactive,,0
1146,inactive,,0
1148,inactive,,0
1174,inactive,,0
1175,inactive,,0
1176,inactive,,0
1183,inactive,,0
1254,inactive,,0
1318,active antagonist,13.8006,-127.832
1345,inactive,,0
1355,inactive,,0
1359,inactive,,0
1474,inactive,,0
1480,inactive,,0
1483,inactive,,0
1486,inactive,,0
1488,inactive,,0
1489,inactive,,0
1491,inactive,,0
1493,active agonist,36.7195,97.8003
1533,inactive,,0
1539,inactive,,0
1639,inactive,,0
1672,inactive,,0
1674,inactive,,0
1676,inactive,,0
1678,inactive,,0
1727,inactive,,0
1732,inactive,,0
1752,inactive,,0
1775,inactive,,0
1807,active antagonist,54.941,-116.298
1892,inactive,,0
1923,active agonist,13.1529,26.87083333
1935,inactive,,0
1967,inactive,,0
1979,inactive,,0
1981,inactive,,0
1982,inactive,,0
1983,inactive,,0
1984,inactive,,0
1985,inactive,,0
1986,inactive,,0
1988,inactive,,0
1989,inactive,,0
1990,inactive,,0
1999,inactive,,0
2000,inactive,,0
2005,inactive,,0
2006,inactive,,0
2018,inactive,,0
2040,inactive,,0
2052,inactive,,0
2061,inactive,,0
2075,inactive,,0
2078,active antagonist,24.5412,-38.9314
2081,inactive,,0
2082,active agonist,3.21043,111.137
2083,inactive,,0
2086,inactive,,0
2118,active antagonist,7.2777,-68.4727
2119,inactive,,0
2120,inactive,,0
2122,inactive,,0
2123,inactive,,0
2130,inactive,,0
2140,inactive,,0
2141,inactive,,0
2145,inactive,,0
2148,inactive,,0
2149,inactive,,0
2151,inactive,,0
2153,inactive,,0
2155,inactive,,0
2159,inactive,,0
2161,inactive,,0
2164,inactive,,0
2170,inactive,,0
2176,active agonist,7.85827,97.1665
2187,inactive,,0
2194,active antagonist,15.089,-57.9415
2196,inactive,,0
2197,inactive,,0
2201,inactive,,0
2202,inactive,,0
2206,inactive,,0
2225,active antagonist,18.2807,-87.065
2230,inactive,,0
2244,inactive,,0
2249,inactive,,0
2256,inactive,,0
2264,inactive,,0
2265,active agonist,18.8178,67.9207
2266,inactive,,0
2268,active agonist,25.0092,74.5051
2272,inactive,,0
2273,inactive,,0
2284,inactive,,0
2286,inactive,,0
2292,inactive,,0
2294,inactive,,0
2310,inactive,,0
2314,inactive,,0
2315,inactive,,0
2319,inactive,,0
2320,active agonist,11.0241,27.8567
2328,inactive,,0
2331,inactive,,0
2333,inactive,,0
2336,active agonist,2.80723,63.4554
2337,inactive,,0
2343,inactive,,0
2345,inactive,,0
2346,inactive,,0
2347,inactive,,0
2348,inactive,,0
2351,inactive,,0
2355,inactive,,0
2361,inactive,,0
2365,inactive,,0
2369,inactive,,0
2374,active antagonist,43.6412,-91.902
2377,inactive,,0
2391,inactive,,0
2435,inactive,,0
2446,inactive,,0
2447,inactive,,0
2448,inactive,,0
2449,inactive,,0
2450,inactive,,0
2451,active antagonist,13.4481,-64.7122
2453,active antagonist,10.6822,-141.261
2461,inactive,,0
2466,inactive,,0
2468,inactive,,0
2471,inactive,,0
2477,inactive,,0
2478,inactive,,0
2480,inactive,,0
2482,inactive,,0
2484,inactive,,0
2513,inactive,,0
2515,inactive,,0
2518,inactive,,0
2519,inactive,,0
2520,inactive,,0
2537,inactive,,0
2557,inactive,,0
2562,inactive,,0
2566,inactive,,0
2569,inactive,,0
2576,inactive,,0
2577,inactive,,0
2578,inactive,,0
2581,inactive,,0
2662,active antagonist,21.3138,-42.8802
2682,inactive,,0
2707,inactive,,0
2708,inactive,,0
2712,inactive,,0
2717,inactive,,0
2720,inactive,,0
2722,active antagonist,5.56323,-116.011
2723,inactive,,0
2724,inactive,,0
2726,inactive,,0
2727,inactive,,0
2728,inactive,,0
2730,inactive,,0
2732,inactive,,0
2733,inactive,,0
2741,inactive,,0
2753,inactive,,0
2754,inactive,,0
2755,inactive,,0
2756,inactive,,0
2758,inactive,,0
2762,inactive,,0
2763,inactive,,0
2765,inactive,,0
2767,inactive,,0
2769,inactive,,0
2775,inactive,,0
2783,inactive,,0
2787,inactive,,0
2788,active antagonist,13.2633,-137.7385
2789,inactive,,0
2794,inactive,,0
2795,inactive,,0
2796,inactive,,0
2797,inactive,,0
2801,inactive,,0
2803,inactive,,0
2804,inactive,,0
2812,active antagonist,6.44182,-123.011
2817,inactive,,0
2870,active antagonist,6.029995,-73.2568
2871,inactive,,0
2879,inactive,,0
2883,inactive,,0
2893,active agonist,25.8222,24.4614
2898,inactive,,0
2904,inactive,,0
2910,inactive,,0
2912,inactive,,0
2913,inactive,,0
2942,inactive,,0
2943,inactive,,0
2950,inactive,,0
2955,inactive,,0
2969,inactive,,0
2972,inactive,,0
2997,active antagonist,22.1476,-65.8429
2998,active agonist,,15.0597
3016,active antagonist,22.6365,-65.5288
3017,inactive,,0
3019,inactive,,0
3023,inactive,,0
3024,inactive,,0
3025,inactive,,0
3026,inactive,,0
3030,inactive,,0
3031,inactive,,0
3035,inactive,,0
3038,inactive,,0
3039,inactive,,0
3042,inactive,,0
3053,inactive,,0
3054,active antagonist,,-17.7653
3055,inactive,,0
3059,inactive,,0
3073,inactive,,0
3074,inactive,,0
3080,active antagonist,20.5113,-69.4724
3081,inactive,,0
3082,inactive,,0
3089,inactive,,0
3090,inactive,,0
3092,inactive,,0
3100,inactive,,0
3102,inactive,,0
3108,inactive,,0
3114,inactive,,0
3115,inactive,,0
3117,inactive,,0
3118,inactive,,0
3120,inactive,,0
3121,inactive,,0
3151,inactive,,0
3168,inactive,,0
3169,inactive,,0
3182,inactive,,0
3194,inactive,,0
3220,active antagonist,54.9477,-69.8134
3225,inactive,,0
3226,inactive,,0
3229,inactive,,0
3242,inactive,,0
3259,inactive,,0
3261,inactive,,0
3275,inactive,,0
3276,inactive,,0
3278,active antagonist,27.8822,-106.978
3282,inactive,,0
3286,inactive,,0
3289,inactive,,0
3291,inactive,,0
3292,inactive,,0
3293,inactive,,0
3295,inactive,,0
3300,inactive,,0
3301,inactive,,0
3305,inactive,,0
3307,active antagonist,16.2927,-73.3687
3308,inactive,,0
3309,inactive,,0
3314,inactive,,0
3316,inactive,,0
3324,inactive,,0
3325,inactive,,0
3326,inactive,,0
3331,inactive,,0
3332,inactive,,0
3333,active antagonist,12.9418,-99.0189
3334,active agonist,1.0204785,109.509
3335,inactive,,0
3337,inactive,,0
3338,inactive,,0
3339,inactive,,0
3341,inactive,,0
3345,inactive,,0
3346,inactive,,0
3347,inactive,,0
3352,inactive,,0
3356,inactive,,0
3357,inactive,,0
3362,inactive,,0
3365,inactive,,0
3366,inactive,,0
3371,active antagonist,43.6412,-89.3002
3372,inactive,,0
3373,inactive,,0
3374,inactive,,0
3385,inactive,,0
3386,inactive,,0
3393,inactive,,0
3394,inactive,,0
3395,inactive,,0
3397,inactive,,0
3418,inactive,,0
3433,inactive,,0
3440,inactive,,0
3442,inactive,,0
3444,inactive,,0
3446,inactive,,0
3448,inactive,,0
3463,inactive,,0
3475,inactive,,0
3476,inactive,,0
3478,inactive,,0
3485,inactive,,0
3487,inactive,,0
3488,inactive,,0
3489,inactive,,0
3515,inactive,,0
3516,inactive,,0
3517,inactive,,0
3552,inactive,,0
3559,inactive,,0
3561,active agonist,4.09255,72.9964
3562,inactive,,0
3589,inactive,,0
3599,inactive,,0
3604,inactive,,0
3607,inactive,,0
3608,inactive,,0
3610,inactive,,0
3627,inactive,,0
3634,active agonist,15.089,298.288
3639,inactive,,0
3647,inactive,,0
3657,inactive,,0
3658,inactive,,0
3671,inactive,,0
3672,inactive,,0
3676,inactive,,0
3681,active agonist,0.848517,101.783
3686,inactive,,0
3689,inactive,,0
3690,inactive,,0
3696,inactive,,0
3698,inactive,,0
3702,inactive,,0
3705,inactive,,0
3712,inactive,,0
3715,inactive,,0
3718,active agonist,7.00369,60.8216
3723,inactive,,0
3724,inactive,,0
3727,inactive,,0
3728,active antagonist,11.1001,-148.534
3730,inactive,,0
3731,inactive,,0
3735,active antagonist,25.1932,-61.73
3736,inactive,,0
3739,inactive,,0
3740,inactive,,0
3741,inactive,,0
3742,inactive,,0
3743,inactive,,0
3747,inactive,,0
3749,inactive,,0
3759,inactive,,0
3760,inactive,,0
3763,inactive,,0
3767,inactive,,0
3775,inactive,,0
3776,inactive,,0
3778,inactive,,0
3779,inactive,,0
3784,inactive,,0
3821,inactive,,0
3822,inactive,,0
3825,inactive,,0
3827,inactive,,0
3828,inactive,,0
3830,inactive,,0
3840,inactive,,0
3878,inactive,,0
3883,inactive,,0
3884,active agonist,1.1773,82.8942
3893,inactive,,0
3899,inactive,,0
3902,inactive,,0
3926,inactive,,0
3932,inactive,,0
3936,active agonist,16.9301,57.9608
3950,inactive,,0
3955,inactive,,0
3957,inactive,,0
3958,inactive,,0
3961,inactive,,0
3965,inactive,,0
3969,active antagonist,22.5767,-90.5185
4004,inactive,,0
4006,inactive,,0
4011,inactive,,0
4021,inactive,,0
4030,active agonist,2.19959,106.309
4032,inactive,,0
4041,inactive,,0
4044,inactive,,0
4047,inactive,,0
4054,inactive,,0
4055,inactive,,0
4059,inactive,,0
4064,inactive,,0
4066,inactive,,0
4075,inactive,,0
4078,inactive,,0
4091,inactive,,0
4093,inactive,,0
4096,inactive,,0
4099,inactive,,0
4100,inactive,,0
4101,inactive,,0
4107,inactive,,0
4109,inactive,,0
4114,inactive,,0
4115,inactive,,0
4116,inactive,,0
4117,inactive,,0
4121,inactive,,0
4122,active agonist,0.785827,140.544
4130,inactive,,0
4133,inactive,,0
4156,inactive,,0
4165,inactive,,0
4168,inactive,,0
4169,inactive,,0
4170,inactive,,0
4173,inactive,,0
4174,inactive,,0
4189,inactive,,0
4197,inactive,,0
4201,inactive,,0
4205,inactive,,0
4211,active antagonist,14.2449,-66.6535
4235,inactive,,0
4236,inactive,,0
4237,inactive,,0
4257,inactive,,0
4276,inactive,,0
4284,inactive,,0
4348,inactive,,0
4409,inactive,,0
4410,inactive,,0
4418,inactive,,0
4420,inactive,,0
4421,inactive,,0
4463,inactive,,0
4472,inactive,,0
4474,active antagonist,19.7391,-106.934
4476,inactive,,0
4477,active agonist,0.227281,227.147
4485,active antagonist,15.6793,-94.8854
4487,inactive,,0
4488,inactive,,0
4493,inactive,,0
4494,active antagonist,13.4481,-125.011
4495,inactive,,0
4496,active agonist,0.441903,99.6168
4497,active antagonist,15.089,-113.838
4500,inactive,,0
4506,inactive,,0
4507,active antagonist,13.4481,-115.587
4509,inactive,,0
4511,inactive,,0
4513,inactive,,0
4514,inactive,,0
4528,inactive,,0
4539,inactive,,0
4567,inactive,,0
4581,inactive,,0
4583,inactive,,0
4594,inactive,,0
4595,inactive,,0
4602,inactive,,0
4610,inactive,,0
4612,inactive,,0
4614,inactive,,0
4615,active antagonist,26.8325,-44.5477
4616,inactive,,0
4621,inactive,,0
4622,active agonist,1.29418,129.064
4626,inactive,,0
4628,inactive,,0
4632,inactive,,0
4636,inactive,,0
4641,inactive,,0
4650,inactive,,0
4652,inactive,,0
4654,inactive,,0
4671,inactive,,0
4674,inactive,,0
4677,inactive,,0
4678,inactive,,0
4679,inactive,,0
4684,inactive,,0
4685,inactive,,0
4723,inactive,,0
4726,inactive,,0
4737,inactive,,0
4740,inactive,,0
4744,inactive,,0
4747,inactive,,0
4748,inactive,,0
4753,inactive,,0
4754,inactive,,0
4760,inactive,,0
4763,inactive,,0
4764,active antagonist,18.9959,-102.862
4765,inactive,,0
4766,inactive,,0
4767,inactive,,0
4768,inactive,,0
4770,inactive,,0
4781,inactive,,0
4783,inactive,,0
4790,inactive,,0
4793,inactive,,0
4806,inactive,,0
4807,active antagonist,,-16.6235
4810,inactive,,0
4820,inactive,,0
4828,inactive,,0
4831,inactive,,0
4837,inactive,,0
4842,inactive,,0
4843,inactive,,0
4847,inactive,,0
4848,inactive,,0
4849,active agonist,8.75673,39.4536
4850,inactive,,0
4855,inactive,,0
4870,inactive,,0
4875,inactive,,0
4883,inactive,,0
4887,inactive,,0
4888,inactive,,0
4890,active antagonist,42.424,-82.3727
4891,inactive,,0
4893,inactive,,0
4904,inactive,,0
4909,inactive,,0
4911,inactive,,0
4912,inactive,,0
4913,inactive,,0
4915,inactive,,0
4922,inactive,,0
4928,inactive,,0
4929,inactive,,0
4930,inactive,,0
4931,active antagonist,15.4864,-78.2478
4932,inactive,,0
4933,inactive,,0
4936,inactive,,0
4937,inactive,,0
4938,inactive,,0
4943,inactive,,0
4944,inactive,,0
4947,active antagonist,7.72361,-48.6121
4963,active agonist,23.3627,30.5761
4964,inactive,,0
4977,inactive,,0
4980,inactive,,0
4990,inactive,,0
4992,inactive,,0
4993,inactive,,0
4994,inactive,,0
5002,inactive,,0
5037,inactive,,0
5042,inactive,,0
5053,active antagonist,25.4733,-89.438
5054,inactive,,0
5055,inactive,,0
5070,active antagonist,9.52052,-47.1075
5073,inactive,,0
5078,inactive,,0
5090,inactive,,0
5092,inactive,,0
5094,inactive,,0
5095,inactive,,0
5104,inactive,,0
5125,inactive,,0
5143,inactive,,0
5144,inactive,,0
5146,inactive,,0
5147,inactive,,0
5152,inactive,,0
5154,active antagonist,,-13.5316
5161,inactive,,0
5192,inactive,,0
5198,inactive,,0
5206,inactive,,0
5215,inactive,,0
5216,inactive,,0
5233,inactive,,0
5237,inactive,,0
5238,inactive,,0
5253,inactive,,0
5258,inactive,,0
5265,inactive,,0
5268,inactive,,0
5278,inactive,,0
5281,inactive,,0
5311,active antagonist,0.952052,-82.376
5315,inactive,,0
5319,inactive,,0
5320,inactive,,0
5323,inactive,,0
5324,inactive,,0
5325,inactive,,0
