CID	Activity	MolecularWeight	HeavyAtomCount	RotatableBondCount	Complexity	XLogP	TPSA	HBondDonorCount	HBondAcceptorCount
3213	Inactive	246.310000	19	0	342.0	4.800	28.7	1	1
6279	Active	386.500000	28	3	767.0	4.100	60.4	0	4
10607	Active	414.400000	30	4	629.0	2.000	92.7	1	8
31401	Inactive	392.600000	28	4	605.0	4.900	77.8	3	4
63052	Active	377.400000	27	1	793.0	1.300	101.0	3	5
72512	Inactive	276.300000	21	1	387.0	4.800	37.9	1	2
192254	Inactive	378.500000	27	3	591.0	4.6	77.8	3	4
444036	Active	500.600000	34	6	984.0	4.000	106.0	1	9
674359	Active	346.400000	25	2	516.0	4.1	70.2	1	3
674360	Active	346.400000	25	2	516.0	4.1	70.2	1	3
1043068	Inactive	364.500000	27	7	473.0	3.6	42.8	1	3
3463734	Active	328.400000	23	5	480.0	3.8	70.3	2	3
3699263	Active	383.300000	24	5	525.0	4.7	70.3	2	3
3728357	Active	383.300000	24	5	525.0	4.7	70.3	2	3
3775934	Active	356.500000	25	7	508.0	4.700	70.3	2	3
3789969	Active	383.300000	24	5	525.0	4.7	70.3	2	3
3816305	Active	370.500000	26	6	556.0	5.100	70.3	2	3
3832779	Active	390.500000	28	6	588.0	5.0	70.3	2	3
3854781	Active	376.900000	25	5	550.0	4.8	70.3	2	3
3865491	Active	383.300000	24	5	515.0	4.800	70.3	2	3
4686093	Active	348.800000	23	5	493.0	4.0	70.3	2	3
5006871	Active	348.800000	23	5	485.0	4.200	70.3	2	3
5185174	Active	356.500000	25	6	520.0	4.5	70.3	2	3
5281004	Active	430.500000	31	4	862.0	2.5	93.1	2	6
5311505	Active	449.600000	33	5	836.0	3.2	60.8	2	4
6439929	Active	312.400000	23	0	640.0	3.9	34.1	0	2
6450278	Active	312.400000	23	0	640.0	3.9	34.1	0	2
7275458	Active	331.500000	23	6	439.0	4.7	54.6	1	3
9577221	Active	449.600000	33	5	867.0	3.2	68.1	1	5
9802231	Active	420.500000	31	4	656.0	5.6	38.0	1	4
9805004	Active	476.400000	34	5	845.0	4.3	97.2	2	9
9808265	Active	576.300000	33	8	659.0	7.1	72.8	1	5
9820084	Active	356.500000	25	5	532.0	4.5	70.3	2	3
9821393	Active	383.500000	29	2	622.0	5.6	30.5	1	3
9822150	Active	397.500000	30	1	712.0	6.5	21.3	1	3
9823099	Active	414.600000	31	3	888.0	4.8	37.3	1	2
9825465	Active	459.600000	33	5	711.0	6.3	65.0	1	5
9825650	Active	463.500000	33	5	947.0	2.400	113.0	3	7
9826255	Active	476.400000	31	2	693.0	6.7	30.5	1	3
9839134	Active	296.301000	22	1	498.0	3.1	62.1	1	4
9846657	Active	452.400000	31	2	687.0	6.9	30.5	1	3
9854142	Active	850.200000	62	11	1870.0	7.7	128.0	4	8
9854489	Active	538.600000	37	6	1080.0	4.800	119.0	1	10
9863751	Active	361.500000	27	3	595.0	5.3	30.5	1	3
9882789	Active	300.400000	22	2	489.0	3.2	60.7	3	3
9885473	Active	365.500000	28	1	641.0	6.1	21.3	1	2
9888873	Active	429.500000	32	7	665.0	4.9	75.6	2	4
9890023	Active	451.500000	33	2	750.0	6.5	30.5	1	6
9904610	Active	305.730000	21	1	417.0	4.0	38.3	1	3
9906282	Active	347.400000	26	3	569.0	5.1	30.5	1	3
9908041	Active	383.500000	29	1	682.0	6.2	21.3	1	3
9911589	Active	450.300000	29	4	672.0	5.0	73.0	1	5
9925244	Active	363.500000	27	4	557.0	5.7	30.5	1	3
9933936	Active	460.300000	28	4	633.0	4.4	73.0	1	5
9933946	Active	460.400000	33	4	786.0	4.9	88.0	2	8
9943699	Active	284.300000	20	1	456.0	3.0	90.4	1	4
9950357	Active	351.500000	25	6	486.0	5.1	46.6	1	3
9951771	Active	379.500000	29	1	676.0	6.4	21.3	1	2
9952569	Active	395.500000	28	4	633.0	4.1	73.0	1	5
9953456	Active	411.600000	28	0	682.0	5.7	71.9	1	5
9969737	Active	375.500000	28	2	608.0	5.8	30.5	1	3
9969849	Active	377.500000	28	4	615.0	5.0	39.7	1	4
9980041	Active	428.900000	29	3	642.0	5.7	66.3	1	4
9993897	Active	282.260000	20	0	460.0	2.5	41.1	2	5
9998996	Active	366.500000	27	5	571.0	5.0	38.0	1	3
9999068	Active	367.900000	26	2	589.0	5.4	41.5	2	3
9999671	Active	377.500000	28	7	553.0	5.4	30.5	1	3
10001914	Active	415.600000	30	7	567.0	6.4	46.6	1	3
10002879	Active	431.800000	26	6	559.0	5.8	70.3	2	3
10002931	Active	432.500000	32	5	671.0	5.5	47.3	1	4
10021634	Active	363.500000	27	7	527.0	5.2	30.5	1	3
10024990	Active	417.700000	25	5	557.0	5.3	70.3	2	3
10026120	Active	438.400000	31	6	684.0	4.5	62.1	1	7
10026128	Active	438.500000	32	4	768.0	5.1	62.4	1	5
10044332	Active	364.500000	27	2	594.0	4.0	60.7	3	3
10046928	Active	406.500000	30	3	649.0	5.100	38.0	1	4
10048339	Active	430.500000	31	3	710.0	5.5	66.3	1	4
10064248	Active	314.400000	23	2	532.0	3.4	60.7	3	3
10067481	Active	366.400000	27	2	585.0	3.2	77.8	3	4
10068183	Active	377.500000	28	7	553.0	5.7	30.5	1	3
10070722	Active	419.600000	31	7	594.0	7.2	30.5	1	3
10070808	Active	421.500000	31	1	701.0	6.5	21.3	1	5
10070842	Active	422.000000	29	5	571.0	6.6	46.6	1	3
10071426	Active	431.800000	26	5	574.0	5.7	70.3	2	3
10071810	Active	438.400000	31	6	684.0	4.5	62.7	1	9
10072320	Active	448.000000	32	7	635.0	6.6	30.5	1	3
10090072	Active	362.900000	24	5	522.0	4.4	70.3	2	3
10091351	Active	383.300000	24	5	515.0	4.7	70.3	2	3
10092463	Active	401.500000	30	2	710.0	5.7	30.5	1	3
10094808	Active	440.600000	31	8	651.0	6.8	70.3	2	3
10110007	Active	375.500000	26	7	547.0	4.4	73.0	1	5
10110771	Active	387.500000	26	4	593.0	3.4	101.0	1	6
10111302	Active	395.500000	28	5	613.0	4.1	73.0	1	5
10113229	Active	426.300000	27	3	603.0	5.7	30.5	1	3
10125859	Active	335.400000	25	2	528.0	4.8	30.5	1	3
10125966	Active	345.400000	26	2	615.0	4.5	30.5	1	3
10126018	Active	349.500000	26	2	554.0	5.3	30.5	1	3
10126196	Active	363.500000	27	3	569.0	5.6	30.5	1	3
10126475	Active	384.400000	27	6	479.0	6.1	29.5	1	6
10126476	Active	384.400000	27	6	471.0	6.1	29.5	1	6
10126871	Active	409.400000	29	6	555.0	5.9	45.2	2	6
10126940	Active	413.400000	29	6	602.0	5.6	53.2	1	8
10127159	Active	427.400000	30	6	586.0	6.0	45.2	2	7
10127269	Active	434.500000	31	6	593.0	7.4	29.5	1	6
10127340	Active	439.300000	28	6	507.0	7.0	29.5	1	6
10127593	Active	456.500000	34	7	766.0	5.1	88.0	2	5
10127709	Active	462.600000	34	7	766.0	6.3	88.0	2	5
10128037	Active	482.300000	30	5	616.0	6.5	45.2	2	5
10128352	Active	505.600000	38	8	806.0	6.5	75.6	2	4
10131608	Active	331.400000	25	4	422.0	5.100	30.5	1	3
10134499	Active	382.400000	27	4	608.0	2.7	85.9	1	6
10136854	Active	419.500000	31	2	687.0	5.8	30.5	1	5
10138737	Active	449.500000	31	5	705.0	5.3	101.0	1	6
10150743	Active	398.400000	28	6	497.0	6.5	29.5	1	6
10150825	Active	403.400000	29	5	581.0	5.900	45.2	2	5
10150851	Active	404.800000	27	6	485.0	6.4	29.5	1	6
10151165	Active	427.400000	30	6	586.0	6.0	45.2	2	7
10151186	Active	428.400000	31	5	703.0	5.600	69.0	2	6
10151357	Active	439.300000	28	6	517.0	7.0	29.5	1	6
10151473	Active	445.500000	33	7	703.0	4.5	95.9	3	5
10152035	Active	479.600000	36	7	789.0	6.1	75.6	2	4
10156793	Active	383.400000	28	4	620.0	6.0	30.5	1	5
10157532	Active	395.500000	28	5	613.0	4.1	73.0	1	5
10158491	Active	410.500000	29	5	644.0	3.6	76.2	1	6
10160645	Active	443.500000	33	5	708.0	5.5	49.0	1	5
10162430	Active	473.500000	34	6	756.0	5.3	82.2	1	6
10163106	Active	484.600000	35	9	759.0	5.7	74.9	1	5
10167930	Active	616.700000	44	12	984.0	5.3	123.0	2	9
10172897	Active	395.400000	28	6	571.0	5.5	53.2	1	7
10173217	Active	415.500000	31	6	650.0	4.6	75.6	2	4
10173354	Active	423.400000	30	6	584.0	6.3	45.2	2	6
10173525	Active	435.600000	32	7	665.0	6.000	75.6	2	4
10173634	Active	443.500000	33	8	679.0	5.2	75.6	2	4
10173659	Active	445.500000	33	7	703.0	4.5	95.9	3	5
10174141	Active	477.500000	35	7	774.0	5.0	95.9	3	6
10177869	Active	381.400000	27	4	598.0	2.9	84.0	2	5
10177943	Active	382.400000	27	4	608.0	2.7	85.9	1	6
10178295	Active	387.500000	27	4	598.0	4.4	73.0	1	5
10179031	Active	399.400000	28	4	639.0	3.8	73.0	1	6
10180123	Active	415.900000	28	4	631.0	4.4	73.0	1	5
10189211	Active	615.800000	44	14	912.0	5.9	88.7	1	8
10193599	Active	349.500000	26	3	542.0	5.2	30.5	1	3
10193967	Active	378.500000	28	4	587.0	4.3	33.7	1	4
10194268	Active	398.400000	28	8	474.0	6.5	29.5	1	6
10194607	Active	420.400000	30	6	564.0	7.0	29.5	1	6
10194889	Active	436.400000	31	7	588.0	5.700	54.4	2	8
10195783	Active	491.500000	36	7	795.0	5.300	95.9	3	6
10210815	Active	600.600000	42	12	963.0	5.8	114.0	2	11
10215978	Active	388.400000	27	6	482.0	5.9	29.5	1	7
10216152	Active	400.400000	28	7	489.0	5.7	38.7	1	7
10216465	Active	418.800000	28	6	513.0	6.7	29.5	1	6
10216535	Active	423.400000	30	6	584.0	6.3	45.2	2	6
10216536	Active	423.400000	30	6	584.0	6.3	45.2	2	6
10216697	Active	434.500000	31	6	593.0	7.4	29.5	1	6
10216788	Active	439.300000	28	6	507.0	7.0	29.5	1	6
