output_maccs:Train	  0.732687    0.787229    0.467577    0.684211    0.781163    0.732687
output_maccs:Test	  0.661972    0.813556    0.242730    0.804878    0.650854    0.727866
output_maccs:Ext1	  0.573171    0.533278    0.054276    0.489362    0.587189    0.538275
output_maccs:Ext2	  0.555632    0.592650    0.018449    0.555942    0.529412    0.542677
output_maccs:Ext3	  0.558857    0.652064    0.102945    0.553836    0.583893    0.568864
output_top:Train	  0.742382    0.789347    0.491145    0.662050    0.822715    0.742382
output_top:Test	  0.774648    0.742028    0.227833    0.585366    0.789374    0.687370
output_top:Ext1	  0.576220    0.458204   -0.044680    0.319149    0.619217    0.469183
output_top:Ext2	  0.482830    0.451539    0.002513    0.482279    0.529412    0.505846
output_top:Ext3	  0.500000    0.658543    0.068246    0.477120    0.614094    0.545607
output_ecfp:Train	  0.713296    0.776997    0.435091    0.614958    0.811634    0.713296
output_ecfp:Test	  0.769366    0.749572    0.235119    0.609756    0.781784    0.695770
output_ecfp:Ext1	  0.667683    0.481109   -0.006394    0.255319    0.736655    0.495987
output_ecfp:Ext2	  0.739011    0.740588    0.122214    0.738707    0.764706    0.751707
output_ecfp:Ext3	  0.725897    0.717163    0.360183    0.723419    0.738255    0.730837
output_fcfp:Train	  0.707756    0.776299    0.438349    0.548476    0.867036    0.707756
output_fcfp:Test	  0.830986    0.768385    0.305305    0.609756    0.848197    0.728977
output_fcfp:Ext1	  0.658537    0.559968    0.013008    0.297872    0.718861    0.508367
output_fcfp:Ext2	  0.728709    0.406246   -0.007342    0.734538    0.235294    0.484916
output_fcfp:Ext3	  0.715807    0.741095    0.322612    0.720727    0.691275    0.706001
output_pub:Train	  0.698061    0.767716    0.447538    0.465374    0.930748    0.698061
output_pub:Test	  0.862676    0.765238    0.327578    0.560976    0.886148    0.723562
output_pub:Ext1	  0.704268    0.599606    0.071661    0.319149    0.768683    0.543916
output_pub:Ext2	  0.269918    0.417201   -0.049341    0.266852    0.529412    0.398132
output_pub:Ext3	  0.349776    0.617080    0.019906    0.268506    0.755034    0.511770
output_ecfp:Train	  0.713296    0.776997    0.435091    0.614958    0.811634    0.713296
output_ecfp:Test	  0.769366    0.749572    0.235119    0.609756    0.781784    0.695770
output_ecfp:Ext1	  0.667683    0.481109   -0.006394    0.255319    0.736655    0.495987
output_ecfp:Ext2	  0.739011    0.740588    0.122214    0.738707    0.764706    0.751707
output_ecfp:Ext3	  0.725897    0.717163    0.360183    0.723419    0.738255    0.730837
output_fcfp:Train	  0.707756    0.776299    0.438349    0.548476    0.867036    0.707756
output_fcfp:Test	  0.830986    0.768385    0.305305    0.609756    0.848197    0.728977
output_fcfp:Ext1	  0.658537    0.559968    0.013008    0.297872    0.718861    0.508367
output_fcfp:Ext2	  0.728709    0.406246   -0.007342    0.734538    0.235294    0.484916
output_fcfp:Ext3	  0.715807    0.741095    0.322612    0.720727    0.691275    0.706001
output_maccs:Train	  0.732687    0.787229    0.467577    0.684211    0.781163    0.732687
output_maccs:Test	  0.661972    0.813556    0.242730    0.804878    0.650854    0.727866
output_maccs:Ext1	  0.573171    0.533278    0.054276    0.489362    0.587189    0.538275
output_maccs:Ext2	  0.555632    0.592650    0.018449    0.555942    0.529412    0.542677
output_maccs:Ext3	  0.558857    0.652064    0.102945    0.553836    0.583893    0.568864
output_pub:Train	  0.698061    0.767716    0.447538    0.465374    0.930748    0.698061
output_pub:Test	  0.862676    0.765238    0.327578    0.560976    0.886148    0.723562
output_pub:Ext1	  0.704268    0.599606    0.071661    0.319149    0.768683    0.543916
output_pub:Ext2	  0.269918    0.417201   -0.049341    0.266852    0.529412    0.398132
output_pub:Ext3	  0.349776    0.617080    0.019906    0.268506    0.755034    0.511770
output_top:Train	  0.742382    0.789347    0.491145    0.662050    0.822715    0.742382
output_top:Test	  0.774648    0.742028    0.227833    0.585366    0.789374    0.687370
output_top:Ext1	  0.576220    0.458204   -0.044680    0.319149    0.619217    0.469183
output_top:Ext2	  0.482830    0.451539    0.002513    0.482279    0.529412    0.505846
output_top:Ext3	  0.500000    0.658543    0.068246    0.477120    0.614094    0.545607
