output_maccs:Train	  0.997230    0.999981    0.994460    0.997230    0.997230    0.997230
output_maccs:Test	  0.704225    0.957282    0.342831    0.951220    0.685009    0.818114
output_maccs:Ext1	  0.560976    0.574620    0.105984    0.595745    0.555160    0.575452
output_maccs:Ext2	  0.560440    0.347055   -0.056070    0.564976    0.176471    0.370723
output_maccs:Ext3	  0.560538    0.586158    0.074598    0.565949    0.533557    0.549753
output_top:Train	  0.998615    0.999992    0.997234    1.000000    0.997230    0.998615
output_top:Test	  0.906690    0.826653    0.435338    0.585366    0.931689    0.758527
output_top:Ext1	  0.740854    0.627697    0.126780    0.340426    0.807829    0.574127
output_top:Ext2	  0.586538    0.510771   -0.012615    0.589298    0.352941    0.471120
output_top:Ext3	  0.614910    0.770798    0.271268    0.581427    0.781879    0.681653
output_ecfp:Train	  1.000000    1.000000    1.000000    1.000000    1.000000    1.000000
output_ecfp:Test	  0.808099    0.878072    0.361959    0.780488    0.810247    0.795367
output_ecfp:Ext1	  0.600610    0.554214    0.065262    0.468085    0.622776    0.545430
output_ecfp:Ext2	  0.710165    0.502473    0.002189    0.715080    0.294118    0.504599
output_ecfp:Ext3	  0.690022    0.733857    0.244312    0.707268    0.604027    0.655647
output_fcfp:Train	  0.998615    0.999996    0.997234    0.997230    1.000000    0.998615
output_fcfp:Test	  0.778169    0.839520    0.292762    0.707317    0.783681    0.745499
output_fcfp:Ext1	  0.628049    0.561066    0.025513    0.361702    0.672598    0.517150
output_fcfp:Ext2	  0.663462    0.621837    0.031008    0.665740    0.470588    0.568164
output_fcfp:Ext3	  0.656951    0.755815    0.241838    0.656124    0.661074    0.658599
output_pub:Train	  0.998615    0.999992    0.997234    1.000000    0.997230    0.998615
output_pub:Test	  0.707746    0.851044    0.288254    0.829268    0.698292    0.763780
output_pub:Ext1	  0.591463    0.555463    0.069864    0.489362    0.608541    0.548951
output_pub:Ext2	  0.623626    0.246127   -0.069323    0.630299    0.058824    0.344561
output_pub:Ext3	  0.617713    0.624656    0.154086    0.625841    0.577181    0.601511
output_ecfp:Train	  1.000000    1.000000    1.000000    1.000000    1.000000    1.000000
output_ecfp:Test	  0.808099    0.878072    0.361959    0.780488    0.810247    0.795367
output_ecfp:Ext1	  0.600610    0.554214    0.065262    0.468085    0.622776    0.545430
output_ecfp:Ext2	  0.710165    0.502473    0.002189    0.715080    0.294118    0.504599
output_ecfp:Ext3	  0.690022    0.733857    0.244312    0.707268    0.604027    0.655647
output_fcfp:Train	  0.998615    0.999996    0.997234    0.997230    1.000000    0.998615
output_fcfp:Test	  0.778169    0.839520    0.292762    0.707317    0.783681    0.745499
output_fcfp:Ext1	  0.628049    0.561066    0.025513    0.361702    0.672598    0.517150
output_fcfp:Ext2	  0.663462    0.621837    0.031008    0.665740    0.470588    0.568164
output_fcfp:Ext3	  0.656951    0.755815    0.241838    0.656124    0.661074    0.658599
output_maccs:Train	  0.997230    0.999981    0.994460    0.997230    0.997230    0.997230
output_maccs:Test	  0.704225    0.957282    0.342831    0.951220    0.685009    0.818114
output_maccs:Ext1	  0.560976    0.574620    0.105984    0.595745    0.555160    0.575452
output_maccs:Ext2	  0.560440    0.347055   -0.056070    0.564976    0.176471    0.370723
output_maccs:Ext3	  0.560538    0.586158    0.074598    0.565949    0.533557    0.549753
output_pub:Train	  0.998615    0.999992    0.997234    1.000000    0.997230    0.998615
output_pub:Test	  0.707746    0.851044    0.288254    0.829268    0.698292    0.763780
output_pub:Ext1	  0.591463    0.555463    0.069864    0.489362    0.608541    0.548951
output_pub:Ext2	  0.623626    0.246127   -0.069323    0.630299    0.058824    0.344561
output_pub:Ext3	  0.617713    0.624656    0.154086    0.625841    0.577181    0.601511
output_top:Train	  0.998615    0.999992    0.997234    1.000000    0.997230    0.998615
output_top:Test	  0.906690    0.826653    0.435338    0.585366    0.931689    0.758527
output_top:Ext1	  0.740854    0.627697    0.126780    0.340426    0.807829    0.574127
output_top:Ext2	  0.586538    0.510771   -0.012615    0.589298    0.352941    0.471120
output_top:Ext3	  0.614910    0.770798    0.271268    0.581427    0.781879    0.681653
