output_maccs:Train	  0.997230    0.999724    0.994475    1.000000    0.994460    0.997230
output_maccs:Test	  0.797535    0.955825    0.430702    0.951220    0.785579    0.868399
output_maccs:Ext1	  0.597561    0.571856    0.011931    0.382979    0.633452    0.508215
output_maccs:Ext2	  0.643544    0.414810   -0.039322    0.649062    0.176471    0.412766
output_maccs:Ext3	  0.635090    0.686640    0.188789    0.640646    0.607383    0.624014
output_top:Train	  0.998615    0.999923    0.997234    1.000000    0.997230    0.998615
output_top:Test	  0.809859    0.890174    0.364088    0.780488    0.812144    0.796316
output_top:Ext1	  0.637195    0.601461    0.110444    0.489362    0.661922    0.575642
output_top:Ext2	  0.695742    0.225156   -0.069900    0.703961    0.000000    0.351981
output_top:Ext3	  0.684978    0.713214    0.250251    0.697174    0.624161    0.660667
output_ecfp:Train	  1.000000    1.000000    1.000000    1.000000    1.000000    1.000000
output_ecfp:Test	  0.809859    0.874670    0.387656    0.829268    0.808349    0.818809
output_ecfp:Ext1	  0.612805    0.580980    0.037920    0.404255    0.647687    0.525971
output_ecfp:Ext2	  0.672390    0.624842    0.019998    0.675469    0.411765    0.543617
output_ecfp:Ext3	  0.661435    0.730813    0.231010    0.666891    0.634228    0.650560
output_fcfp:Train	  0.998615    0.999996    0.997234    0.997230    1.000000    0.998615
output_fcfp:Test	  0.830986    0.862498    0.342921    0.682927    0.842505    0.762716
output_fcfp:Ext1	  0.649390    0.580071    0.031580    0.340426    0.701068    0.520747
output_fcfp:Ext2	  0.712912    0.730409    0.071704    0.714385    0.588235    0.651310
output_fcfp:Ext3	  0.701233    0.771813    0.307959    0.702557    0.694631    0.698594
output_pub:Train	  0.998615    0.999877    0.997234    1.000000    0.997230    0.998615
output_pub:Test	  0.790493    0.886148    0.376881    0.853659    0.785579    0.819619
output_pub:Ext1	  0.594512    0.582911    0.047424    0.446809    0.619217    0.533013
output_pub:Ext2	  0.747253    0.490700   -0.002842    0.753301    0.235294    0.494298
output_pub:Ext3	  0.719170    0.691953    0.274157    0.743607    0.597315    0.670461
output_ecfp:Train	  1.000000    1.000000    1.000000    1.000000    1.000000    1.000000
output_ecfp:Test	  0.809859    0.874670    0.387656    0.829268    0.808349    0.818809
output_ecfp:Ext1	  0.612805    0.580980    0.037920    0.404255    0.647687    0.525971
output_ecfp:Ext2	  0.672390    0.624842    0.019998    0.675469    0.411765    0.543617
output_ecfp:Ext3	  0.661435    0.730813    0.231010    0.666891    0.634228    0.650560
output_fcfp:Train	  0.998615    0.999996    0.997234    0.997230    1.000000    0.998615
output_fcfp:Test	  0.830986    0.862498    0.342921    0.682927    0.842505    0.762716
output_fcfp:Ext1	  0.649390    0.580071    0.031580    0.340426    0.701068    0.520747
output_fcfp:Ext2	  0.712912    0.730409    0.071704    0.714385    0.588235    0.651310
output_fcfp:Ext3	  0.701233    0.771813    0.307959    0.702557    0.694631    0.698594
output_maccs:Train	  0.997230    0.999724    0.994475    1.000000    0.994460    0.997230
output_maccs:Test	  0.797535    0.955825    0.430702    0.951220    0.785579    0.868399
output_maccs:Ext1	  0.597561    0.571856    0.011931    0.382979    0.633452    0.508215
output_maccs:Ext2	  0.643544    0.414810   -0.039322    0.649062    0.176471    0.412766
output_maccs:Ext3	  0.635090    0.686640    0.188789    0.640646    0.607383    0.624014
output_pub:Train	  0.998615    0.999877    0.997234    1.000000    0.997230    0.998615
output_pub:Test	  0.790493    0.886148    0.376881    0.853659    0.785579    0.819619
output_pub:Ext1	  0.594512    0.582911    0.047424    0.446809    0.619217    0.533013
output_pub:Ext2	  0.747253    0.490700   -0.002842    0.753301    0.235294    0.494298
output_pub:Ext3	  0.719170    0.691953    0.274157    0.743607    0.597315    0.670461
output_top:Train	  0.998615    0.999923    0.997234    1.000000    0.997230    0.998615
output_top:Test	  0.809859    0.890174    0.364088    0.780488    0.812144    0.796316
output_top:Ext1	  0.637195    0.601461    0.110444    0.489362    0.661922    0.575642
output_top:Ext2	  0.695742    0.225156   -0.069900    0.703961    0.000000    0.351981
output_top:Ext3	  0.684978    0.713214    0.250251    0.697174    0.624161    0.660667
