output_maccs:Train	  0.966759    0.992377    0.933747    0.955679    0.977839    0.966759
output_maccs:Test	  0.836268    0.959226    0.479592    0.951220    0.827324    0.889272
output_maccs:Ext1	  0.631098    0.569660    0.001824    0.319149    0.683274    0.501211
output_maccs:Ext2	  0.543269    0.275559   -0.047023    0.546908    0.235294    0.391101
output_maccs:Ext3	  0.559417    0.670539    0.147295    0.539704    0.657718    0.598711
output_top:Train	  0.879501    0.949494    0.769347    0.797784    0.961219    0.879501
output_top:Test	  0.852113    0.861411    0.361532    0.658537    0.867173    0.762855
output_top:Ext1	  0.661585    0.593587    0.095322    0.425532    0.701068    0.563300
output_top:Ext2	  0.779533    0.657278    0.095564    0.781793    0.588235    0.685014
output_top:Ext3	  0.757848    0.801450    0.376111    0.770525    0.694631    0.732578
output_ecfp:Train	  0.847645    0.926474    0.702618    0.775623    0.919668    0.847645
output_ecfp:Test	  0.801056    0.838548    0.317656    0.707317    0.808349    0.757833
output_ecfp:Ext1	  0.670732    0.593587    0.117005    0.446809    0.708185    0.577497
output_ecfp:Ext2	  0.646978    0.719372    0.078918    0.646282    0.705882    0.676082
output_ecfp:Ext3	  0.651345    0.743362    0.263186    0.639973    0.708054    0.674013
output_fcfp:Train	  0.950139    0.992177    0.901163    0.927978    0.972299    0.950139
output_fcfp:Test	  0.848592    0.855811    0.368470    0.682927    0.861480    0.772203
output_fcfp:Ext1	  0.655488    0.595139    0.023789    0.319149    0.711744    0.515446
output_fcfp:Ext2	  0.720467    0.788047    0.115244    0.719944    0.764706    0.742325
output_fcfp:Ext3	  0.708520    0.764263    0.327331    0.707268    0.714765    0.711016
output_pub:Train	  0.670360    0.990608    0.453147    0.340720    1.000000    0.670360
output_pub:Test	  0.948944    0.861549    0.526055    0.317073    0.998102    0.657588
output_pub:Ext1	  0.847561    0.595896   -0.039293    0.000000    0.989324    0.494662
output_pub:Ext2	  0.022665    0.296734    0.011457    0.011119    1.000000    0.505559
output_pub:Ext3	  0.174327    0.632501    0.002544    0.010767    0.989933    0.500350
output_ecfp:Train	  0.847645    0.926474    0.702618    0.775623    0.919668    0.847645
output_ecfp:Test	  0.801056    0.838548    0.317656    0.707317    0.808349    0.757833
output_ecfp:Ext1	  0.670732    0.593587    0.117005    0.446809    0.708185    0.577497
output_ecfp:Ext2	  0.646978    0.719372    0.078918    0.646282    0.705882    0.676082
output_ecfp:Ext3	  0.651345    0.743362    0.263186    0.639973    0.708054    0.674013
output_fcfp:Train	  0.950139    0.992177    0.901163    0.927978    0.972299    0.950139
output_fcfp:Test	  0.848592    0.855811    0.368470    0.682927    0.861480    0.772203
output_fcfp:Ext1	  0.655488    0.595139    0.023789    0.319149    0.711744    0.515446
output_fcfp:Ext2	  0.720467    0.788047    0.115244    0.719944    0.764706    0.742325
output_fcfp:Ext3	  0.708520    0.764263    0.327331    0.707268    0.714765    0.711016
output_maccs:Train	  0.966759    0.992377    0.933747    0.955679    0.977839    0.966759
output_maccs:Test	  0.836268    0.959226    0.479592    0.951220    0.827324    0.889272
output_maccs:Ext1	  0.631098    0.569660    0.001824    0.319149    0.683274    0.501211
output_maccs:Ext2	  0.543269    0.275559   -0.047023    0.546908    0.235294    0.391101
output_maccs:Ext3	  0.559417    0.670539    0.147295    0.539704    0.657718    0.598711
output_pub:Train	  0.670360    0.990608    0.453147    0.340720    1.000000    0.670360
output_pub:Test	  0.948944    0.861549    0.526055    0.317073    0.998102    0.657588
output_pub:Ext1	  0.847561    0.595896   -0.039293    0.000000    0.989324    0.494662
output_pub:Ext2	  0.022665    0.296734    0.011457    0.011119    1.000000    0.505559
output_pub:Ext3	  0.174327    0.632501    0.002544    0.010767    0.989933    0.500350
output_top:Train	  0.879501    0.949494    0.769347    0.797784    0.961219    0.879501
output_top:Test	  0.852113    0.861411    0.361532    0.658537    0.867173    0.762855
output_top:Ext1	  0.661585    0.593587    0.095322    0.425532    0.701068    0.563300
output_top:Ext2	  0.779533    0.657278    0.095564    0.781793    0.588235    0.685014
output_top:Ext3	  0.757848    0.801450    0.376111    0.770525    0.694631    0.732578
